Pd_bus1,Pd_bus2,Pd_bus3,Pd_bus4,Pd_bus5,Pd_bus6,Pd_bus7,Pd_bus8,Pd_bus9,Pd_bus10,Pd_bus11,Pd_bus12,Pd_bus13,Pd_bus14,Qd_bus1,Qd_bus2,Qd_bus3,Qd_bus4,Qd_bus5,Qd_bus6,Qd_bus7,Qd_bus8,Qd_bus9,Qd_bus10,Qd_bus11,Qd_bus12,Qd_bus13,Qd_bus14,Vm_bus1,Vm_bus2,Vm_bus3,Vm_bus4,Vm_bus5,Vm_bus6,Vm_bus7,Vm_bus8,Vm_bus9,Vm_bus10,Vm_bus11,Vm_bus12,Vm_bus13,Vm_bus14,Va_bus1,Va_bus2,Va_bus3,Va_bus4,Va_bus5,Va_bus6,Va_bus7,Va_bus8,Va_bus9,Va_bus10,Va_bus11,Va_bus12,Va_bus13,Va_bus14,label
0,21.45395192,87.63626329,50.45321916,8.194421243,11.82882202,0,0,28.0871972,8.597128523,3.496277047,6.270150772,13.59402103,15.99216827,0,13.14928181,20.02829935,-3.764747055,1.747448263,7.936447667,0,0,17.48286863,5.845214371,1.628288597,1.638175384,5.608843746,5.331535397,1.06,1.045,1.01,1.021792846,1.019001342,1.07,1.060910001,1.088302123,1.054936496,1.050319178,1.056758384,1.071510795,1.04996978,1.038849312,0,-4.873603477,-12.24615624,-10.53814624,-8.697999904,-14.21867321,-13.22747691,-13.07937643,-14.79552251,-14.96482534,-14.7253362,-15.06385772,-15.16485539,-16.08204639,1
0,21.72417982,87.61001676,48.34780956,7.269626307,11.59637086,0,0,31.45136811,8.798346865,3.216847215,6.523629622,12.34633822,14.14656936,0,13.64594787,17.94757084,-4.129830196,1.659235296,6.821450833,0,0,16.32769628,5.480451049,1.817740158,1.622817147,5.660495094,4.50834702,1.067049651,1.046776526,1.01,1.017811495,1.019705229,1.07,1.061886196,1.09,1.049406798,1.051889482,1.05745929,1.063745569,1.051409402,1.037693939,0.095033547,-4.844754444,-12.13884853,-10.07247559,-8.567043215,-13.96862734,-13.16556777,-13.16556777,-14.59450073,-14.90412449,-14.55445765,-15.1201178,-14.86713713,-15.76717524,2
0,22.32940635,93.30478021,50.11340092,8.330329122,10.53933491,0,0,28.9281945,8.315373963,3.35132915,6.404639499,13.74947002,15.24060117,0,13.70007753,19.23507775,-3.92700576,1.478170838,7.787942305,0,0,15.49405492,5.644383556,1.669686372,1.705137124,6.227199258,5.45656175,1.06,1.045,1.01,1.017638159,1.018242037,1.07,1.059245579,1.09,1.056963123,1.052192216,1.057720261,1.054502821,1.049723527,1.046861247,0,-5.021384687,-12.73535858,-10.39554131,-8.736537767,-14.23602104,-13.40347183,-13.39143574,-14.94243975,-15.07918206,-14.78506871,-15.11217167,-15.1797237,-16.21160007,1
0,21.24019926,102.1392034,48.87057168,7.183467552,11.2608761,0,0,26.69140331,9.478735549,3.44957376,6.047209605,12.52301007,16.37657235,0,11.79447055,17.65389487,-3.609090825,1.624640327,7.136410274,0,0,16.47855297,5.400635524,1.865190869,1.476875115,6.008367948,5.261190561,1.057220744,1.045,1.01,1.017673028,1.019523059,1.07,1.061728088,1.083763674,1.056304272,1.051425071,1.05709482,1.055317779,1.050367122,1.034249605,0.091228597,-5.166252829,-13.41386169,-10.58919069,-8.982601747,-14.37633628,-13.53745565,-13.95102778,-15.06482209,-15.25002914,-14.94096206,-15.22023696,-15.28448043,-16.27001929,2
0,19.86550786,88.94167888,51.32784855,7.670149761,11.37793108,0,0,30.75553085,8.417975924,3.746168152,6.605350669,13.21030246,14.99852144,0,12.76565738,19.68398528,-3.636924626,1.655016002,7.390252928,0,0,17.01147931,5.359923888,1.716899465,1.584743803,5.503034061,5.252673537,1.06,1.045,1.01,1.016758215,1.018844866,1.07,1.060980268,1.09,1.065758359,1.050902213,1.056837699,1.054842182,1.050486933,1.03061906,0,-4.903833741,-12.39858141,-10.31767467,-8.775763164,-14.30428911,-13.42354742,-13.42354742,-15.01190654,-15.17960977,-14.88757968,-15.1934037,-15.24681535,-16.14651276,1
0,21.29298579,100.5714487,49.63023026,7.769769892,11.98500621,0,0,32.26805579,8.840799363,3.648535986,5.731522633,14.70048001,14.47310007,0,11.52292168,19.95442764,-4.05935278,1.446031771,7.040312086,0,0,18.02478957,6.017998313,1.788488335,1.565125983,5.798264185,4.71334237,1.06,1.045,1.017420949,1.016392709,1.018377042,1.07,1.058677137,1.09,1.053589019,1.048905374,1.055774359,1.045505728,1.049730144,1.034636899,0,-5.294084678,-13.28048416,-10.88733839,-9.261558303,-14.96418252,-14.16839565,-14.07822649,-15.73336943,-15.87673382,-15.55863414,-15.67837604,-15.94660638,-16.80542407,1
0,22.11870079,95.53075682,46.0355547,8.034609624,11.06292175,0,0,32.19090116,9.429085718,3.639223772,6.370079058,14.62382622,13.99414343,0,13.73548425,18.62806617,-3.701144844,1.711615769,7.503953292,0,0,15.12338366,6.157126614,1.877607004,1.472104983,5.338526655,4.843181868,1.067467444,1.045,1.01,1.025853711,1.01905759,1.07,1.047035092,1.09,1.056750816,1.05125205,1.056890647,1.05533745,1.050622067,1.03700945,0.057507114,-5.084839889,-12.94539143,-10.42841898,-8.939671754,-14.54894302,-13.56892085,-13.69492882,-15.35526104,-15.51110246,-15.16770787,-15.45613009,-15.54992621,-16.37223927,2
0,20.09058318,100.0804717,48.1874629,7.915813122,12.2889001,0,0,30.71148328,9.002988219,3.469261116,5.793945233,14.46865228,16.31265517,0,12.84551301,20.56564918,-4.095675389,1.627299889,7.441074777,0,0,16.01861434,6.368825538,1.729673912,1.684756405,6.250749839,4.615600565,1.06,1.045,1.01,1.016647224,1.018594719,1.07,1.0611154,1.09,1.055626116,1.047532092,1.056672791,1.054941032,1.049340745,1.034413426,0,-5.222463314,-13.43521074,-10.53292029,-9.185626633,-14.91860649,-13.98663313,-13.98663313,-15.64344332,-15.73987812,-15.48698742,-15.78414854,-15.91168024,-16.89012283,1
0,20.79059012,87.4630226,46.3829133,7.232913406,10.49740851,0,0,30.64683715,8.370197612,3.638214721,6.650892968,12.96456025,14.70663778,0,12.23198732,17.76690549,-3.96788193,1.666632764,8.14424554,0,0,18.180803,5.943254372,1.625082522,1.623356025,5.531881024,4.722234548,1.064553052,1.045,1.01,1.017811496,1.01976129,1.07,1.060879883,1.09,1.042528485,1.049895762,1.056451745,1.054842563,1.050692831,1.035395961,0.078761173,-4.719427635,-11.99356978,-9.89497224,-8.425979118,-13.81496239,-12.95901355,-12.95901355,-14.61383779,-14.68400035,-14.39107203,-14.69892712,-14.74691176,-15.63129422,2
0,20.18834908,98.98308699,48.68231638,6.872826538,12.23873118,0,0,31.59285562,9.604188366,3.597046122,6.158490503,13.174352,15.88905931,0,13.48070569,18.5684905,-4.131451303,1.579641404,7.930687817,0,0,17.34469495,5.851271733,1.657104152,1.450328938,6.289262269,5.023535206,1.06,1.033317886,1.01,1.01662794,1.018591722,1.07,1.060370253,1.09,1.05416349,1.049338625,1.04528963,1.054972781,1.04967409,1.033422411,0,-5.18768457,-13.33124878,-10.735212,-9.124038326,-14.83537403,-13.9627275,-13.9627275,-15.63632956,-15.80404869,-15.85353843,-15.70739755,-15.77755216,-16.77974015,2
