Pd_bus1,Pd_bus2,Pd_bus3,Pd_bus4,Pd_bus5,Pd_bus6,Pd_bus7,Pd_bus8,Pd_bus9,Pd_bus10,Pd_bus11,Pd_bus12,Pd_bus13,Pd_bus14,Qd_bus1,Qd_bus2,Qd_bus3,Qd_bus4,Qd_bus5,Qd_bus6,Qd_bus7,Qd_bus8,Qd_bus9,Qd_bus10,Qd_bus11,Qd_bus12,Qd_bus13,Qd_bus14,Vm_bus1,Vm_bus2,Vm_bus3,Vm_bus4,Vm_bus5,Vm_bus6,Vm_bus7,Vm_bus8,Vm_bus9,Vm_bus10,Vm_bus11,Vm_bus12,Vm_bus13,Vm_bus14,Va_bus1,Va_bus2,Va_bus3,Va_bus4,Va_bus5,Va_bus6,Va_bus7,Va_bus8,Va_bus9,Va_bus10,Va_bus11,Va_bus12,Va_bus13,Va_bus14,label
0,22.9415633,99.58964347,50.53487216,8.034833231,11.84080687,0,0,31.18783952,9.51493409,3.700252146,6.449010883,14.27240113,15.75250199,0,13.42662922,20.08708308,-4.123138105,1.691543838,7.929111741,0,0,17.54976732,6.131846413,1.902986818,1.691543838,6.131846413,5.286074494,1.06,1.045,1.01,1.015996023,1.017942991,1.07,1.059815549,1.09,1.053306474,1.048377281,1.055374997,1.054177485,1.048953732,1.032327886,0,-5.369559789,-13.59905398,-11.00121974,-9.367954932,-15.15796556,-14.22474708,-14.22474708,-15.896603,-16.06811818,-15.75087305,-16.06232529,-16.14472416,-17.06728189,0
0,23.3755633,101.4736435,51.49087216,8.186833231,12.06480687,0,0,31.77783952,9.69493409,3.770252146,6.571010883,14.54240113,16.05050199,0,13.68062922,20.46708308,-4.201138105,1.723543838,8.079111741,0,0,17.88176732,6.247846413,1.938986818,1.723543838,6.247846413,5.386074494,1.06,1.045,1.01,1.015399301,1.017381032,1.07,1.059211345,1.09,1.052378446,1.047456746,1.054834793,1.053822475,1.048451795,1.031199424,0,-5.505547988,-13.90590215,-11.24291783,-9.576560025,-15.48710122,-14.52854676,-14.52854676,-16.23308669,-16.40909111,-16.08813225,-16.40888203,-16.49187647,-17.43036776,2
0,23.8095633,103.3576435,52.44687216,8.338833231,12.28880687,0,0,32.36783952,9.87493409,3.840252146,6.693010883,14.81240113,16.34850199,0,13.93462922,20.84708308,-4.279138105,1.755543838,8.229111741,0,0,18.21376732,6.363846413,1.974986818,1.755543838,6.363846413,5.486074494,1.06,1.045,1.01,1.014796669,1.016812334,1.07,1.058602649,1.09,1.051444986,1.046531426,1.054292044,1.053466637,1.047948404,1.030066156,0,-5.641915466,-14.21346365,-11.48519333,-9.785658639,-15.81708081,-14.83308287,-14.83308287,-16.57040652,-16.75091765,-16.42623674,-16.75630387,-16.83989328,-17.79439052,2
0,24.2435633,105.2416435,53.40287216,8.490833231,12.51280687,0,0,32.95783952,10.05493409,3.910252146,6.815010883,15.08240113,16.64650199,0,14.18862922,21.22708308,-4.357138105,1.787543838,8.379111741,0,0,18.54576732,6.479846413,2.010986818,1.787543838,6.479846413,5.586074494,1.06,1.045,1.01,1.014188079,1.016236842,1.07,1.057989426,1.09,1.050506049,1.04560128,1.05374673,1.053109965,1.047443545,1.02892804,0,-5.77866653,-14.52174749,-11.7280543,-9.995257688,-16.1479165,-15.1383661,-15.1383661,-16.90857451,-17.09361006,-16.76519868,-17.10460315,-17.18878693,-18.15936332,2
0,24.6775633,107.1256435,54.35887216,8.642833231,12.73680687,0,0,33.54783952,10.23493409,3.980252146,6.937010883,15.35240113,16.94450199,0,14.44262922,21.60708308,-4.435138105,1.819543838,8.529111741,0,0,18.87776732,6.595846413,2.046986818,1.819543838,6.595846413,5.686074494,1.06,1.045,1.01,1.013573483,1.015654502,1.07,1.057371639,1.09,1.049561588,1.044666268,1.053198828,1.052752453,1.046937209,1.027785034,0,-5.91580556,-14.83076282,-11.97150897,-10.2053642,-16.47962067,-15.44440726,-15.44440726,-17.24760288,-17.43718077,-17.10503045,-17.45379239,-17.53856995,-18.52529956,2
0,18.65183365,80.96786773,41.08560592,6.532439435,9.626752852,0,0,25.35617939,7.735783541,3.008360266,5.243142178,11.60367531,12.80701942,0,10.91605011,16.33109859,-3.352172868,1.375250407,6.446486285,0,0,14.26822298,4.985282727,1.547156708,1.375250407,4.985282727,4.297657523,1.06,1.045,1.01,1.021585543,1.023145723,1.07,1.065553228,1.09,1.06219615,1.057226744,1.06058191,1.057643184,1.053839052,1.043231622,0,-4.044960842,-10.6026565,-8.641655667,-7.331212048,-11.94766298,-11.25939207,-11.25939207,-12.61328083,-12.74131835,-12.46034806,-12.68093737,-12.75741733,-13.5262078,2
0,19.08583365,82.85186773,42.04160592,6.684439435,9.850752852,0,0,25.94617939,7.915783541,3.078360266,5.365142178,11.87367531,13.10501942,0,11.17005011,16.71109859,-3.430172868,1.407250407,6.596486285,0,0,14.60022298,5.101282727,1.583156708,1.407250407,5.101282727,4.397657523,1.06,1.045,1.01,1.02104491,1.022647699,1.07,1.064991619,1.09,1.061319549,1.05635148,1.060065781,1.057296047,1.05335091,1.04214858,0,-4.177417231,-10.90291038,-8.878055481,-7.535288953,-12.26907239,-11.55645211,-11.55645211,-12.94210822,-13.07447354,-12.78986787,-13.01956644,-13.09664791,-13.88069911,2
0,19.51983365,84.73586773,42.99760592,6.836439435,10.07475285,0,0,26.53617939,8.095783541,3.148360266,5.487142178,12.14367531,13.40301942,0,11.42405011,17.09109859,-3.508172868,1.439250407,6.746486285,0,0,14.93222298,5.217282727,1.619156708,1.439250407,5.217282727,4.497657523,1.06,1.045,1.01,1.020498784,1.022143415,1.07,1.064425841,1.09,1.060437922,1.055471793,1.0595473,1.056948137,1.052861418,1.041061107,0,-4.310213955,-11.2037956,-9.114959222,-7.739796508,-12.59121521,-11.85415164,-11.85415164,-13.27166245,-13.40837102,-13.12012237,-13.35894866,-13.43663104,-14.23600769,2
0,19.95383365,86.61986773,43.95360592,6.988439435,10.29875285,0,0,27.12617939,8.275783541,3.218360266,5.609142178,12.41367531,13.70101942,0,11.67805011,17.47109859,-3.586172868,1.471250407,6.896486285,0,0,15.26422298,5.333282727,1.655156708,1.471250407,5.333282727,4.597657523,1.06,1.045,1.01,1.019947126,1.021632826,1.07,1.063855863,1.09,1.05955123,1.05458765,1.05902645,1.056599449,1.052370566,1.039969166,0,-4.443354677,-11.50531989,-9.352373839,-7.944740658,-12.91410186,-12.15249983,-12.15249983,-13.60195385,-13.74302131,-13.45112202,-13.69909461,-13.77737729,-14.59214483,2
0,20.38783365,88.50386773,44.90960592,7.140439435,10.52275285,0,0,27.71617939,8.455783541,3.288360266,5.731142178,12.68367531,13.99901942,0,11.93205011,17.85109859,-3.664172868,1.503250407,7.046486285,0,0,15.59622298,5.449282727,1.691156708,1.503250407,5.449282727,4.697657523,1.06,1.045,1.01,1.019389897,1.021115887,1.07,1.063281655,1.09,1.058659436,1.053699016,1.05850321,1.056249979,1.051878345,1.038872722,0,-4.57684312,-11.80749112,-9.590306379,-8.150127434,-13.23774295,-12.45150598,-12.45150598,-13.93299292,-14.0784351,-13.78287742,-14.04001502,-14.11889738,-14.94912202,2
0,23.72887884,103.0073911,52.26914326,8.310575079,12.24716327,0,0,32.25815327,9.841470488,3.827238523,6.670329998,14.76220573,16.29310114,0,13.88740836,20.7764377,-4.264637212,1.749594753,8.201225407,0,0,18.15204557,6.342280981,1.968294098,1.749594753,6.342280981,5.467483605,1.06,1.045,1.01,1.014909153,1.016918573,1.07,1.058716153,1.09,1.051618938,1.046703815,1.054393139,1.053532853,1.048042099,1.030277206,0,-5.616534641,-14.15623084,-11.44010809,-9.746747685,-15.75567025,-14.77641069,-14.77641069,-16.50763194,-16.6873039,-16.36331559,-16.69164903,-16.77512788,-17.72664395,2
0,24.16287884,104.8913911,53.22514326,8.462575079,12.47116327,0,0,32.84815327,10.02147049,3.897238523,6.792329998,15.03220573,16.59110114,0,14.14140836,21.1564377,-4.342637212,1.781594753,8.351225407,0,0,18.48404557,6.458280981,2.004294098,1.781594753,6.458280981,5.567483605,1.06,1.045,1.01,1.014301674,1.016344348,1.07,1.058103774,1.09,1.050681022,1.04577457,1.053848303,1.053176337,1.047537515,1.029139995,0,-5.753214064,-14.4643797,-11.68285961,-9.95625317,-16.08634585,-15.0815542,-15.0815542,-16.84564134,-17.0298344,-16.70211719,-17.03978425,-17.12385757,-18.09143913,2
0,24.59687884,106.7753911,54.18114326,8.614575079,12.69516327,0,0,33.43815327,10.20147049,3.967238523,6.914329998,15.30220573,16.88910114,0,14.39540836,21.5364377,-4.420637212,1.813594753,8.501225407,0,0,18.81604557,6.574280981,2.040294098,1.813594753,6.574280981,5.667483605,1.06,1.045,1.01,1.013688199,1.015763285,1.07,1.057486838,1.09,1.049737592,1.044840466,1.053300884,1.052818982,1.047031454,1.027997901,0,-5.890280633,-14.77325835,-11.92620328,-10.1662648,-16.41788762,-15.38745363,-15.38745363,-17.18450882,-17.37324088,-17.0417863,-17.38880708,-17.4734743,-18.45719523,2
0,25.03087884,108.6593911,55.13714326,8.766575079,12.91916327,0,0,34.02815327,10.38147049,4.037238523,7.036329998,15.57220573,17.18710114,0,14.64940836,21.9164377,-4.498637212,1.845594753,8.651225407,0,0,19.14804557,6.690280981,2.076294098,1.845594753,6.690280981,5.767483605,1.06,1.045,1.01,1.013068678,1.015175329,1.07,1.056865308,1.09,1.0487886,1.043901461,1.05275086,1.052460782,1.046523906,1.026850882,0,-6.027738789,-15.08287606,-12.17014742,-10.3767897,-16.7503081,-15.69411994,-15.69411994,-17.52424677,-17.71753594,-17.38233547,-17.73873023,-17.82399074,-18.82392581,2
0,25.46487884,110.5433911,56.09314326,8.918575079,13.14316327,0,0,34.61815327,10.56147049,4.107238523,7.158329998,15.84220573,17.48510114,0,14.90340836,22.2964377,-4.576637212,1.877594753,8.801225407,0,0,19.48004557,6.806280981,2.112294098,1.877594753,6.806280981,5.867483605,1.06,1.045,1.01,1.012443062,1.014580422,1.07,1.056239146,1.09,1.047833999,1.042957514,1.052198207,1.052101732,1.046014858,1.025698895,0,-6.165593049,-15.39324228,-12.41470049,-10.58783509,-17.08362002,-16.0015643,-16.0015643,-17.86486778,-18.06273242,-17.72377743,-18.08956661,-18.17541981,-19.19164466,2
0,19.57853892,84.99070813,43.12691983,6.856999806,10.10505235,0,0,26.61598609,8.12013135,3.157828858,5.503644581,12.18019702,13.44332857,0,11.45840757,17.14249952,-3.518723585,1.443578907,6.766776125,0,0,14.97713116,5.232973536,1.62402627,1.443578907,5.232973536,4.511184083,1.06,1.045,1.01,1.020424488,1.02207472,1.07,1.064348989,1.09,1.06031828,1.05535246,1.059476986,1.056901017,1.052795102,1.040913667,0,-4.328203115,-11.24454391,-9.14704322,-7.767492735,-12.63484693,-11.89446975,-11.89446975,-13.31629617,-13.45359343,-13.16485143,-13.40491381,-13.48267742,-14.28413208,2
0,20.01253892,86.87470813,44.08291983,7.008999806,10.32905235,0,0,27.20598609,8.30013135,3.227828858,5.625644581,12.45019702,13.74132857,0,11.71240757,17.52249952,-3.596723585,1.475578907,6.916776125,0,0,15.30913116,5.348973536,1.66002627,1.475578907,5.348973536,4.611184083,1.06,1.045,1.01,1.019872079,1.021563274,1.07,1.063778441,1.09,1.059430901,1.054467712,1.058955813,1.056552224,1.052304066,1.039821119,0,-4.461390652,-11.54615525,-9.384527479,-7.972496402,-12.95783501,-12.19290639,-12.19290639,-13.64668809,-13.78834637,-13.49595268,-13.74516388,-13.82352771,-14.64038218,2
0,20.44653892,88.75870813,45.03891983,7.160999806,10.55305235,0,0,27.79598609,8.48013135,3.297828858,5.747644581,12.72019702,14.03932857,0,11.96640757,17.90249952,-3.674723585,1.507578907,7.066776125,0,0,15.64113116,5.464973536,1.69602627,1.507578907,5.464973536,4.711184083,1.06,1.045,1.01,1.019314093,1.021045472,1.07,1.063203658,1.09,1.058538413,1.053578468,1.05843225,1.056202647,1.051811658,1.038724063,0,-4.594926418,-11.8484146,-9.622530624,-8.177943519,-13.28157896,-12.49200226,-12.49200226,-13.9778291,-14.12386426,-13.82781112,-14.08618988,-14.16515332,-14.99747388,0
0,20.88053892,90.64270813,45.99491983,7.312999806,10.77705235,0,0,28.38598609,8.66013135,3.367828858,5.869644581,12.99019702,14.33732857,0,12.22040757,18.28249952,-3.752723585,1.539578907,7.216776125,0,0,15.97313116,5.580973536,1.73202627,1.539578907,5.580973536,4.811184083,1.06,1.045,1.01,1.01875049,1.020521268,1.07,1.06262461,1.09,1.057640777,1.052684694,1.057906277,1.055852281,1.051317869,1.037622464,0,-4.728814197,-12.15132997,-9.861059814,-8.38384021,-13.60608956,-12.79176681,-12.79176681,-14.30972985,-14.46015795,-14.16043753,-14.42800271,-14.50756514,-15.35541884,0
